qed_mean,qed_med,qed_min,qed_max,qed_std,total_mean,total_med,total_min,total_max,total_std,objective_calls,n_replaced,timestamps,n_failed_obj_computation,n_not_improvers_among_success_obj_computation,n_discarded_tabu,n_discarded_filters,n_discarded_rdfilters,n_discarded_sillywalks,n_discarded_sascore,n_discarded_custom_filter
0.5135310907094712,0.5140944668511922,0.21384922010636914,0.7301939828450146,0.09289996487423992,0.5135310907094712,0.5140944668511922,0.21384922010636914,0.7301939828450146,0.09289996487423992,405,10,11.480198621749878,0,0,241,0,0,0,0,0
0.5137217354781521,0.5140944668511922,0.21384922010636914,0.7301939828450146,0.09254085704856908,0.5137217354781521,0.5140944668511922,0.21384922010636914,0.7301939828450146,0.09254085704856908,415,10,12.051189661026001,0,0,305,0,0,0,0,0
0.5133470132895288,0.5140944668511922,0.21384922010636914,0.7301939828450146,0.09221405358372524,0.5133470132895288,0.5140944668511922,0.21384922010636914,0.7301939828450146,0.09221405358372524,425,10,12.817457437515259,0,0,383,0,0,0,0,0
0.5133377789471414,0.5140962109160223,0.21384922010636914,0.7301939828450146,0.0923924118756465,0.5133377789471414,0.5140962109160223,0.21384922010636914,0.7301939828450146,0.0923924118756465,435,10,13.710593938827515,0,0,389,0,0,0,0,0
0.513312070953995,0.5140962109160223,0.21384922010636914,0.7301939828450146,0.09208206296797765,0.513312070953995,0.5140962109160223,0.21384922010636914,0.7301939828450146,0.09208206296797765,445,10,14.40894889831543,0,0,325,0,0,0,0,0
0.5137433125661272,0.5140962109160223,0.21384922010636914,0.7301939828450146,0.09161104486169387,0.5137433125661272,0.5140962109160223,0.21384922010636914,0.7301939828450146,0.09161104486169387,455,10,15.526211500167847,0,0,552,0,0,0,0,0
0.5142781725246599,0.5150367683012578,0.21384922010636914,0.7301939828450146,0.09154841829736737,0.5142781725246599,0.5150367683012578,0.21384922010636914,0.7301939828450146,0.09154841829736737,465,10,16.41174077987671,0,0,372,0,0,0,0,0
0.5144437361998849,0.5151485591768517,0.21384922010636914,0.7301939828450146,0.09081500340961467,0.5144437361998849,0.5151485591768517,0.21384922010636914,0.7301939828450146,0.09081500340961467,475,10,17.122992753982544,0,0,313,0,0,0,0,0
0.513946571278918,0.5151448656645048,0.21384922010636914,0.7301939828450146,0.09048747704713897,0.513946571278918,0.5151448656645048,0.21384922010636914,0.7301939828450146,0.09048747704713897,485,10,18.71649718284607,0,0,335,0,0,0,0,0
0.5129225304354966,0.5150367683012578,0.21384922010636914,0.7301939828450146,0.09047230145488076,0.5129225304354966,0.5150367683012578,0.21384922010636914,0.7301939828450146,0.09047230145488076,495,10,22.61989140510559,0,0,624,0,0,0,0,0
0.5127942972530506,0.5140962109160223,0.21384922010636914,0.7301939828450146,0.09063826476035963,0.5127942972530506,0.5140962109160223,0.21384922010636914,0.7301939828450146,0.09063826476035963,505,10,23.361912727355957,0,0,373,0,0,0,0,0
0.5122673188208292,0.5132620068292039,0.21384922010636914,0.7301939828450146,0.09141667211403527,0.5122673188208292,0.5132620068292039,0.21384922010636914,0.7301939828450146,0.09141667211403527,515,10,24.369035005569458,0,0,563,0,0,0,0,0
0.512895159023995,0.5134763731144827,0.21384922010636914,0.7301939828450146,0.09153427919121038,0.512895159023995,0.5134763731144827,0.21384922010636914,0.7301939828450146,0.09153427919121038,525,10,25.11615490913391,0,0,350,0,0,0,0,0
